#date=2022/01/30 18:19:35;source=MUSIALv2.0;reference=TP1031;samples=74
Sample	Homozygous_Calls	Heterozygous_Calls	Rejected_Calls	Deleted_Positions	Inserted_Positions	SNVs
PT_SIF0857	34	0	0	3	3	32
Q3	34	0	0	3	3	32
SHC-0	34	0	3	3	0	29
PT_SIF1348	33	0	1	3	3	29
PT_SIF0697	34	0	1	3	0	32
CZ33	21	0	15	0	0	6
PT_SIF1142	34	0	0	3	3	32
PT_SIF1020	34	0	0	3	3	32
PT_SIF1063	34	0	0	3	3	32
PT_SIF1140	33	0	13	0	0	20
PT_SIF1261	34	0	0	3	3	32
PT_SIF1183	34	0	0	3	3	32
GHA1	7	0	4	2	0	2
NE20	1	0	0	0	0	1
PT_SIF0877_3	34	0	0	3	3	32
A2_2	34	0	1	3	0	32
A2_1	34	0	18	0	0	16
GRA2	34	0	21	0	0	13
SHG-I2	34	0	2	3	0	31
AR2	34	0	1	3	0	32
SS14	28	0	1	3	0	26
SHD-R	34	0	4	3	0	29
PT_SIF1278	34	0	0	3	3	32
PT_SIF1156	34	0	0	3	3	32
PT_SIF1196	34	0	0	3	3	32
B3	34	0	0	3	3	32
NE17	34	0	1	3	0	32
NE19	34	0	9	0	0	25
NE12	20	0	4	3	3	14
NE13	28	0	12	3	0	15
NE14	35	0	18	0	0	17
NE15	34	0	8	3	0	25
SamoaD	8	0	1	2	0	6
PT_SIF0954	34	0	0	3	3	32
AU17	27	0	8	3	0	18
PT_SIF1127	34	0	0	3	3	32
AU15	34	0	1	3	0	32
AU16	34	0	7	3	0	26
PT_SIF0751	34	0	1	3	0	32
AU13	34	0	24	0	0	10
K3	34	0	0	3	3	32
BAL73	0	0	0	0	0	0
PT_SIF1002	34	0	0	3	3	32
PT_SIF1167	34	0	0	3	3	32
PT_SIF1200	34	0	0	3	3	32
PT_SIF1242	34	0	0	3	3	32
SW1	34	0	1	3	0	32
UW1	68	0	30	6	0	36
C3	34	0	1	3	0	32
PT_SIF1280	34	0	0	3	3	32
SW4	21	0	6	3	0	14
SW6	34	0	7	3	0	26
SW8	34	0	1	3	0	32
PT_SIF0908	34	0	2	3	0	31
Dallas	0	0	0	0	0	0
SEA86	1	0	1	0	0	0
CZ27	34	0	1	3	0	32
P3	34	0	3	3	0	30
Chicago	0	0	0	0	0	0
PT_SIF1135	34	0	1	3	0	32
MexicoA	28	0	1	3	0	26
PT_SIF1299	34	0	1	0	3	32
SHE-V	34	0	0	3	3	32
Seattle81	0	0	0	0	0	0
BosniaA	6	0	1	2	0	4
PT_SIF1252	34	0	0	3	3	32
Gauthier	7	0	1	2	0	5
NIC1	0	0	0	0	0	0
NIC2	0	0	0	0	0	0
CDC2	8	0	1	2	0	6
IND1	7	0	1	2	0	5
SAM1	8	0	1	2	0	6
BAL3	0	0	0	0	0	0
Fribourg	7	0	1	2	0	5
