#date=2022/01/30 18:19:34;source=MUSIALv2.0;reference=TP0621;samples=74
Sample	Homozygous_Calls	Heterozygous_Calls	Rejected_Calls	Deleted_Positions	Inserted_Positions	SNVs
PT_SIF0857	8	0	7	0	0	1
Q3	6	0	5	0	0	1
SHC-0	6	0	5	0	0	1
PT_SIF1348	6	0	5	0	0	1
PT_SIF0697	8	0	7	0	0	1
CZ33	6	0	5	0	0	1
PT_SIF1142	6	0	5	0	0	1
PT_SIF1020	8	0	7	0	0	1
PT_SIF1063	6	0	5	0	0	1
PT_SIF1140	6	0	5	0	0	1
PT_SIF1261	6	0	5	0	0	1
PT_SIF1183	8	0	7	0	0	1
GHA1	14	0	8	0	0	6
NE20	7	0	7	0	0	0
PT_SIF0877_3	8	0	7	0	0	1
A2_2	8	0	7	0	0	1
A2_1	6	0	5	0	0	1
GRA2	16	0	16	0	0	0
SHG-I2	8	0	7	0	0	1
AR2	6	0	5	0	0	1
SS14	11	0	10	0	0	1
SHD-R	6	0	5	0	0	1
PT_SIF1278	6	0	5	0	0	1
PT_SIF1156	6	0	5	0	0	1
PT_SIF1196	6	0	5	0	0	1
B3	6	0	5	0	0	1
NE17	6	0	5	0	0	1
NE19	6	0	5	0	0	1
NE12	9	0	5	0	0	4
NE13	9	0	8	0	0	1
NE14	11	0	10	0	0	1
NE15	12	0	11	0	0	1
SamoaD	20	0	10	0	0	10
PT_SIF0954	6	0	5	0	0	1
AU17	10	0	9	0	0	1
PT_SIF1127	12	0	11	0	0	1
AU15	8	0	7	0	0	1
AU16	8	0	7	0	0	1
PT_SIF0751	8	0	7	0	0	1
AU13	8	0	7	0	0	1
K3	6	0	5	0	0	1
BAL73	13	0	13	0	0	0
PT_SIF1002	6	0	5	0	0	1
PT_SIF1167	8	0	7	0	0	1
PT_SIF1200	6	0	5	0	0	1
PT_SIF1242	6	0	5	0	0	1
SW1	11	0	10	0	0	1
UW1	15	0	15	0	0	0
C3	6	0	5	0	0	1
PT_SIF1280	6	0	5	0	0	1
SW4	8	0	7	0	0	1
SW6	11	0	10	0	0	1
SW8	6	0	5	0	0	1
PT_SIF0908	6	0	5	0	0	1
Dallas	10	0	10	0	0	0
SEA86	5	0	5	0	0	0
CZ27	8	0	7	0	0	1
P3	6	0	5	0	0	1
Chicago	10	0	10	0	0	0
PT_SIF1135	8	0	7	0	0	1
MexicoA	13	0	12	0	0	1
PT_SIF1299	6	0	5	0	0	1
SHE-V	6	0	5	0	0	1
Seattle81	15	0	9	0	0	6
BosniaA	22	0	13	0	0	9
PT_SIF1252	8	0	7	0	0	1
Gauthier	20	0	11	0	0	9
NIC1	0	0	0	0	0	0
NIC2	12	0	10	0	0	2
CDC2	20	0	11	0	0	9
IND1	14	0	7	0	0	7
SAM1	14	0	5	0	0	9
BAL3	8	0	8	0	0	0
Fribourg	21	0	12	0	0	9
