#date=2022/01/30 18:19:35;source=MUSIALv2.0;reference=TP0897;samples=74
Sample	Homozygous_Calls	Heterozygous_Calls	Rejected_Calls	Deleted_Positions	Inserted_Positions	SNVs
PT_SIF0857	47	1	26	7	24	15
Q3	65	2	63	5	0	4
SHC-0	39	2	18	11	24	15
PT_SIF1348	35	5	30	6	22	6
PT_SIF0697	44	0	6	14	36	22
CZ33	13	0	12	0	0	1
PT_SIF1142	39	0	10	14	23	15
PT_SIF1020	60	8	61	0	19	5
PT_SIF1063	42	0	6	13	24	24
PT_SIF1140	44	0	35	0	9	6
PT_SIF1261	35	0	9	24	19	15
PT_SIF1183	54	7	59	0	3	8
GHA1	19	0	13	0	3	4
NE20	37	1	28	2	11	9
PT_SIF0877_3	51	4	39	3	31	10
A2_2	17	0	10	5	5	3
A2_1	23	0	22	0	0	1
GRA2	11	0	8	0	0	3
SHG-I2	50	3	33	4	22	14
AR2	45	0	18	9	25	17
SS14	4	0	2	0	0	2
SHD-R	68	6	75	0	9	2
PT_SIF1278	42	2	28	6	5	12
PT_SIF1156	45	0	9	26	11	19
PT_SIF1196	41	0	2	17	21	21
B3	45	0	37	6	0	6
NE17	29	0	22	15	0	3
NE19	28	0	18	3	0	8
NE12	10	0	9	0	0	1
NE13	6	0	5	0	0	1
NE14	14	0	7	0	0	7
NE15	24	0	20	0	0	4
SamoaD	7	0	0	0	0	7
PT_SIF0954	39	0	2	7	37	24
AU17	23	0	15	6	2	5
PT_SIF1127	40	1	19	3	12	16
AU15	32	0	19	1	14	9
AU16	18	0	8	3	11	8
PT_SIF0751	42	0	3	31	45	21
AU13	5	0	5	0	0	0
K3	45	4	43	4	18	5
BAL73	12	0	11	0	0	1
PT_SIF1002	45	0	1	24	39	27
PT_SIF1167	57	1	38	7	3	16
PT_SIF1200	69	4	73	0	4	2
PT_SIF1242	35	1	7	8	11	21
SW1	34	0	26	3	0	6
UW1	4	0	3	4	0	0
C3	36	3	14	19	11	19
PT_SIF1280	77	2	75	0	10	3
SW4	8	0	8	0	0	0
SW6	25	0	15	0	0	9
SW8	1	0	1	0	0	0
PT_SIF0908	41	0	11	24	35	14
Dallas	1	0	0	0	11	0
SEA86	22	0	15	0	0	7
CZ27	31	0	6	9	15	15
P3	48	2	30	14	9	12
Chicago	0	0	0	0	0	0
PT_SIF1135	35	0	20	3	3	11
MexicoA	5	0	3	0	12	1
PT_SIF1299	53	2	32	11	40	11
SHE-V	66	2	62	0	0	8
Seattle81	20	0	4	3	2	13
BosniaA	22	0	0	3	6	17
PT_SIF1252	44	0	17	26	26	14
Gauthier	11	0	5	0	0	6
NIC1	1	0	1	0	0	0
NIC2	1	0	1	0	0	0
CDC2	11	0	5	3	0	4
IND1	25	0	25	0	0	0
SAM1	54	5	50	3	3	10
BAL3	74	0	60	8	4	10
Fribourg	3	0	0	0	0	3
