#date=2022/01/30 18:19:39;source=MUSIALv2.0;reference=TP0317;samples=74
Sample	Homozygous_Calls	Heterozygous_Calls	Rejected_Calls	Deleted_Positions	Inserted_Positions	SNVs
PT_SIF0857	11	0	9	0	0	2
Q3	7	0	5	0	0	2
SHC-0	20	0	15	0	0	3
PT_SIF1348	11	0	9	0	0	2
PT_SIF0697	26	0	24	0	0	2
CZ33	8	0	8	0	0	0
PT_SIF1142	24	0	22	0	0	2
PT_SIF1020	24	0	22	0	0	2
PT_SIF1063	11	0	9	0	0	2
PT_SIF1140	7	0	5	0	0	2
PT_SIF1261	7	0	5	0	0	2
PT_SIF1183	24	0	22	0	0	2
GHA1	12	0	8	0	0	4
NE20	8	0	8	0	0	0
PT_SIF0877_3	10	0	8	0	0	2
A2_2	7	0	5	0	0	2
A2_1	9	0	7	0	0	2
GRA2	21	0	21	0	0	0
SHG-I2	13	0	7	0	0	6
AR2	14	0	12	0	0	2
SS14	17	0	15	0	0	2
SHD-R	22	0	17	0	0	5
PT_SIF1278	15	0	13	0	0	2
PT_SIF1156	8	0	6	0	0	2
PT_SIF1196	8	0	6	0	0	2
B3	13	0	11	0	0	2
NE17	7	0	5	0	0	2
NE19	12	0	11	0	0	1
NE12	6	0	4	0	0	2
NE13	12	0	10	0	0	2
NE14	13	0	12	0	0	1
NE15	12	0	10	0	0	2
SamoaD	16	0	12	0	0	4
PT_SIF0954	24	0	22	0	0	2
AU17	16	0	14	0	0	2
PT_SIF1127	13	0	11	0	0	2
AU15	16	0	14	0	0	2
AU16	13	0	11	0	0	2
PT_SIF0751	8	0	6	0	0	2
AU13	13	0	12	0	0	1
K3	14	0	12	0	0	2
BAL73	9	0	9	0	0	0
PT_SIF1002	24	0	22	0	0	2
PT_SIF1167	13	0	11	0	0	2
PT_SIF1200	12	0	10	0	0	2
PT_SIF1242	11	0	9	0	0	2
SW1	11	0	9	0	0	2
UW1	20	0	20	0	0	0
C3	11	0	5	0	0	6
PT_SIF1280	8	0	6	0	0	2
SW4	12	0	10	0	0	2
SW6	7	0	5	0	0	2
SW8	17	0	15	0	0	2
PT_SIF0908	5	0	3	0	0	2
Dallas	7	0	7	0	0	0
SEA86	9	0	9	0	0	0
CZ27	16	0	14	0	0	2
P3	24	0	22	0	0	2
Chicago	7	0	7	0	0	0
PT_SIF1135	11	0	9	0	0	2
MexicoA	19	0	17	0	0	2
PT_SIF1299	9	0	7	0	0	2
SHE-V	11	0	9	0	0	2
Seattle81	13	0	13	0	0	0
BosniaA	16	0	12	0	0	4
PT_SIF1252	14	0	12	0	0	2
Gauthier	17	0	14	0	0	3
NIC1	4	0	4	0	0	0
NIC2	5	0	5	0	0	0
CDC2	16	0	13	0	0	3
IND1	13	0	11	0	0	2
SAM1	12	0	8	0	0	4
BAL3	14	0	14	0	0	0
Fribourg	17	0	14	0	0	3
