#date=2022/01/30 18:19:34;source=MUSIALv2.0;reference=TP0515;samples=74
Sample	Homozygous_Calls	Heterozygous_Calls	Rejected_Calls	Deleted_Positions	Inserted_Positions	SNVs
PT_SIF0857	10	0	0	0	0	10
Q3	10	0	0	0	0	10
SHC-0	10	0	0	0	0	10
PT_SIF1348	11	0	0	0	0	11
PT_SIF0697	10	0	0	0	0	10
CZ33	19	0	8	0	0	11
PT_SIF1142	11	0	0	0	0	11
PT_SIF1020	10	0	0	0	0	10
PT_SIF1063	10	0	0	0	0	10
PT_SIF1140	11	0	3	0	0	8
PT_SIF1261	11	0	0	0	0	11
PT_SIF1183	11	0	1	0	0	10
GHA1	5	0	0	0	0	5
NE20	0	0	0	0	0	0
PT_SIF0877_3	11	0	0	0	0	11
A2_2	11	0	0	0	0	11
A2_1	11	0	3	0	0	8
GRA2	10	0	0	0	0	10
SHG-I2	10	0	0	0	0	10
AR2	11	0	1	0	0	10
SS14	10	0	0	0	0	10
SHD-R	10	0	0	0	0	10
PT_SIF1278	11	0	0	0	0	11
PT_SIF1156	10	0	0	0	0	10
PT_SIF1196	10	0	0	0	0	10
B3	10	0	0	0	0	10
NE17	11	0	0	0	0	11
NE19	9	0	2	0	0	7
NE12	11	0	1	0	0	10
NE13	10	0	0	0	0	10
NE14	10	0	0	0	0	10
NE15	11	0	1	0	0	10
SamoaD	5	0	0	0	0	5
PT_SIF0954	11	0	0	0	0	11
AU17	11	0	0	0	0	11
PT_SIF1127	11	0	0	0	0	11
AU15	11	0	1	0	0	10
AU16	11	0	0	0	0	11
PT_SIF0751	11	0	0	0	0	11
AU13	11	0	0	0	0	11
K3	10	0	0	0	0	10
BAL73	0	0	0	0	0	0
PT_SIF1002	10	0	0	0	0	10
PT_SIF1167	10	0	0	0	0	10
PT_SIF1200	11	0	0	0	0	11
PT_SIF1242	10	0	0	0	0	10
SW1	11	0	0	0	0	11
UW1	11	0	3	0	0	8
C3	10	0	0	0	0	10
PT_SIF1280	11	0	0	0	0	11
SW4	12	0	2	0	0	10
SW6	10	0	0	0	0	10
SW8	11	0	1	0	0	10
PT_SIF0908	10	0	9	0	0	1
Dallas	0	0	0	0	0	0
SEA86	0	0	0	0	0	0
CZ27	10	0	0	0	0	10
P3	10	0	1	0	0	9
Chicago	0	0	0	0	0	0
PT_SIF1135	10	0	0	0	0	10
MexicoA	12	0	0	0	0	12
PT_SIF1299	11	0	0	0	0	11
SHE-V	10	0	0	0	0	10
Seattle81	3	0	0	0	0	3
BosniaA	4	0	0	0	0	4
PT_SIF1252	11	0	0	0	0	11
Gauthier	5	0	0	0	0	5
NIC1	0	0	0	0	0	0
NIC2	0	0	0	0	0	0
CDC2	5	0	0	0	0	5
IND1	5	0	0	0	0	5
SAM1	5	0	0	0	0	5
BAL3	0	0	0	0	0	0
Fribourg	5	0	0	0	0	5
