#date=2022/01/30 18:19:37;source=MUSIALv2.0;reference=TP0610;samples=74
Sample	Homozygous_Calls	Heterozygous_Calls	Rejected_Calls	Deleted_Positions	Inserted_Positions	SNVs
PT_SIF0857	1	0	0	0	0	1
Q3	1	0	0	0	0	1
SHC-0	1	0	0	0	0	1
PT_SIF1348	1	0	0	0	0	1
PT_SIF0697	1	0	0	0	0	1
CZ33	1	0	0	0	0	1
PT_SIF1142	1	0	0	0	0	1
PT_SIF1020	1	0	0	0	0	1
PT_SIF1063	1	0	0	0	0	1
PT_SIF1140	1	0	1	0	0	0
PT_SIF1261	1	0	0	0	0	1
PT_SIF1183	1	0	0	0	0	1
GHA1	4	0	0	0	0	4
NE20	0	0	0	0	0	0
PT_SIF0877_3	1	0	0	0	0	1
A2_2	1	0	0	0	0	1
A2_1	1	0	0	0	0	1
GRA2	1	0	1	0	0	0
SHG-I2	1	0	0	0	0	1
AR2	1	0	0	0	0	1
SS14	1	0	0	0	0	1
SHD-R	1	0	0	0	0	1
PT_SIF1278	1	0	0	0	0	1
PT_SIF1156	1	0	0	0	0	1
PT_SIF1196	1	0	0	0	0	1
B3	1	0	0	0	0	1
NE17	1	0	0	0	0	1
NE19	1	0	0	0	0	1
NE12	0	0	0	0	0	0
NE13	1	0	0	0	0	1
NE14	1	0	0	0	0	1
NE15	1	0	0	0	0	1
SamoaD	4	0	0	0	0	4
PT_SIF0954	1	0	0	0	0	1
AU17	1	0	1	0	0	0
PT_SIF1127	0	0	0	0	0	0
AU15	1	0	0	0	0	1
AU16	1	0	0	0	0	1
PT_SIF0751	1	0	0	0	0	1
AU13	1	0	1	0	0	0
K3	1	0	0	0	0	1
BAL73	0	0	0	0	0	0
PT_SIF1002	1	0	0	0	0	1
PT_SIF1167	1	0	0	0	0	1
PT_SIF1200	1	0	0	0	0	1
PT_SIF1242	1	0	0	0	0	1
SW1	1	0	0	0	0	1
UW1	1	0	0	0	0	1
C3	1	0	0	0	0	1
PT_SIF1280	1	0	0	0	0	1
SW4	2	0	1	0	0	1
SW6	1	0	0	0	0	1
SW8	1	0	0	0	0	1
PT_SIF0908	1	0	0	0	0	1
Dallas	0	0	0	0	0	0
SEA86	2	0	2	0	0	0
CZ27	1	0	0	0	0	1
P3	1	0	0	0	0	1
Chicago	0	0	0	0	0	0
PT_SIF1135	1	0	0	0	0	1
MexicoA	1	0	0	0	0	1
PT_SIF1299	1	0	0	0	0	1
SHE-V	1	0	0	0	0	1
Seattle81	0	0	0	0	0	0
BosniaA	4	0	0	0	0	4
PT_SIF1252	1	0	0	0	0	1
Gauthier	4	0	0	0	0	4
NIC1	0	0	0	0	0	0
NIC2	0	0	0	0	0	0
CDC2	0	0	0	0	0	0
IND1	0	0	0	0	0	0
SAM1	4	0	0	0	0	4
BAL3	0	0	0	0	0	0
Fribourg	4	0	0	0	0	4
