#date=2022/01/30 18:19:39;source=MUSIALv2.0;reference=TP0620;samples=74
Sample	Homozygous_Calls	Heterozygous_Calls	Rejected_Calls	Deleted_Positions	Inserted_Positions	SNVs
PT_SIF0857	22	0	22	0	0	0
Q3	21	0	21	0	0	0
SHC-0	21	0	21	0	0	0
PT_SIF1348	22	0	22	0	0	0
PT_SIF0697	22	0	22	0	0	0
CZ33	23	0	23	0	0	0
PT_SIF1142	22	0	22	0	0	0
PT_SIF1020	22	0	22	0	0	0
PT_SIF1063	22	0	22	0	0	0
PT_SIF1140	19	0	14	0	0	5
PT_SIF1261	22	0	22	0	0	0
PT_SIF1183	24	0	24	0	0	0
GHA1	39	0	18	6	6	16
NE20	22	0	22	0	0	0
PT_SIF0877_3	22	0	22	0	0	0
A2_2	22	0	22	0	0	0
A2_1	22	0	22	0	0	0
GRA2	39	0	38	0	0	1
SHG-I2	22	0	22	0	0	0
AR2	22	0	22	0	0	0
SS14	29	0	29	0	0	0
SHD-R	21	0	21	0	0	0
PT_SIF1278	24	0	24	0	0	0
PT_SIF1156	18	0	18	0	0	0
PT_SIF1196	22	0	22	0	0	0
B3	22	0	22	0	0	0
NE17	22	0	22	0	0	0
NE19	19	0	19	0	0	0
NE12	18	0	18	0	0	0
NE13	24	0	19	0	0	5
NE14	22	0	22	0	0	0
NE15	24	0	24	0	0	0
SamoaD	43	0	22	6	6	16
PT_SIF0954	22	0	22	0	0	0
AU17	22	0	22	0	0	0
PT_SIF1127	24	0	24	0	0	0
AU15	22	0	22	0	0	0
AU16	22	0	22	0	0	0
PT_SIF0751	24	0	24	0	0	0
AU13	22	0	22	0	0	0
K3	22	0	22	0	0	0
BAL73	18	0	18	0	0	0
PT_SIF1002	22	0	22	0	0	0
PT_SIF1167	22	0	22	0	0	0
PT_SIF1200	18	0	18	0	0	0
PT_SIF1242	22	0	22	0	0	0
SW1	24	0	24	0	0	0
UW1	32	0	32	0	0	0
C3	22	0	22	0	0	0
PT_SIF1280	21	0	21	0	0	0
SW4	22	0	22	0	0	0
SW6	22	0	22	0	0	0
SW8	24	0	24	0	0	0
PT_SIF0908	22	0	22	0	0	0
Dallas	16	0	16	0	0	0
SEA86	21	0	21	0	0	0
CZ27	22	0	22	0	0	0
P3	21	0	21	0	0	0
Chicago	17	0	17	0	0	0
PT_SIF1135	24	0	24	0	0	0
MexicoA	27	0	27	0	0	0
PT_SIF1299	22	0	22	0	0	0
SHE-V	22	0	22	0	0	0
Seattle81	27	0	27	0	0	0
BosniaA	52	0	26	8	8	19
PT_SIF1252	22	0	22	0	0	0
Gauthier	40	0	19	6	6	16
NIC1	18	0	18	0	0	0
NIC2	13	0	13	0	0	0
CDC2	41	0	18	6	6	18
IND1	43	0	21	6	6	17
SAM1	30	0	6	6	6	19
BAL3	27	0	27	0	0	0
Fribourg	45	0	22	6	6	19
