#date=2022/01/30 18:19:39;source=MUSIALv2.0;reference=TP0131;samples=74
Sample	Homozygous_Calls	Heterozygous_Calls	Rejected_Calls	Deleted_Positions	Inserted_Positions	SNVs
PT_SIF0857	42	0	42	0	0	0
Q3	31	0	31	0	0	0
SHC-0	29	0	29	0	0	0
PT_SIF1348	35	0	35	0	0	0
PT_SIF0697	32	0	32	0	0	0
CZ33	21	0	21	0	0	0
PT_SIF1142	41	0	41	0	0	0
PT_SIF1020	43	0	43	0	0	0
PT_SIF1063	45	0	45	0	0	0
PT_SIF1140	31	0	31	0	0	0
PT_SIF1261	44	0	44	0	0	0
PT_SIF1183	44	0	44	0	0	0
GHA1	52	0	24	3	3	26
NE20	33	0	33	0	0	0
PT_SIF0877_3	45	0	45	0	0	0
A2_2	23	0	19	0	0	4
A2_1	30	0	30	0	0	0
GRA2	38	0	37	0	0	1
SHG-I2	32	0	32	0	0	0
AR2	40	0	40	0	0	0
SS14	33	0	33	0	0	0
SHD-R	24	0	24	0	0	0
PT_SIF1278	42	0	42	0	0	0
PT_SIF1156	23	0	23	0	0	0
PT_SIF1196	31	0	31	0	0	0
B3	43	0	43	0	0	0
NE17	36	0	36	0	0	0
NE19	18	0	17	0	0	1
NE12	15	0	15	0	0	0
NE13	27	0	27	0	0	0
NE14	28	0	28	0	0	0
NE15	34	0	34	0	0	0
SamoaD	59	0	36	3	3	21
PT_SIF0954	34	0	34	0	0	0
AU17	35	0	35	0	0	0
PT_SIF1127	33	0	33	0	0	0
AU15	34	0	34	0	0	0
AU16	39	0	39	0	0	0
PT_SIF0751	43	0	43	0	0	0
AU13	31	0	31	0	0	0
K3	32	0	32	0	0	0
BAL73	16	0	16	0	0	0
PT_SIF1002	33	0	33	0	0	0
PT_SIF1167	44	0	44	0	0	0
PT_SIF1200	41	0	41	0	0	0
PT_SIF1242	43	0	43	0	0	0
SW1	31	0	31	0	0	0
UW1	36	0	36	0	0	0
C3	37	0	37	0	0	0
PT_SIF1280	31	0	31	0	0	0
SW4	29	0	29	0	0	0
SW6	30	0	30	0	0	0
SW8	27	0	27	0	0	0
PT_SIF0908	24	0	24	0	0	0
Dallas	16	0	16	0	0	0
SEA86	31	0	31	0	0	0
CZ27	32	0	32	0	0	0
P3	25	0	25	0	0	0
Chicago	17	0	17	0	0	0
PT_SIF1135	44	0	44	0	0	0
MexicoA	31	0	31	0	0	0
PT_SIF1299	42	0	41	0	0	1
SHE-V	36	0	36	0	0	0
Seattle81	30	0	30	0	0	0
BosniaA	52	0	28	5	5	20
PT_SIF1252	31	0	31	0	0	0
Gauthier	53	0	26	3	3	25
NIC1	20	0	20	0	0	0
NIC2	14	0	14	0	0	0
CDC2	56	0	32	3	3	22
IND1	58	0	33	3	3	23
SAM1	56	0	32	3	3	22
BAL3	38	0	38	0	0	0
Fribourg	62	0	33	3	3	27
