#date=2022/01/30 18:19:42;source=MUSIALv2.0;reference=TP0548;samples=74
Sample	Homozygous_Calls	Heterozygous_Calls	Rejected_Calls	Deleted_Positions	Inserted_Positions	SNVs
PT_SIF0857	29	0	2	2	8	23
Q3	28	0	7	2	8	17
SHC-0	22	0	1	2	8	17
PT_SIF1348	30	0	3	3	5	24
PT_SIF0697	29	0	3	0	8	23
CZ33	17	0	7	0	2	9
PT_SIF1142	30	0	3	3	5	24
PT_SIF1020	29	0	3	0	8	23
PT_SIF1063	29	0	2	2	8	23
PT_SIF1140	29	0	12	0	2	16
PT_SIF1261	30	0	2	3	14	24
PT_SIF1183	29	1	4	3	8	23
GHA1	19	0	11	0	4	7
NE20	2	0	0	0	0	2
PT_SIF0877_3	30	0	3	3	5	24
A2_2	22	0	4	2	5	15
A2_1	17	0	11	0	0	6
GRA2	22	0	6	0	5	14
SHG-I2	22	0	3	0	5	17
AR2	28	0	7	0	8	17
SS14	29	0	3	0	8	23
SHD-R	22	0	1	2	8	17
PT_SIF1278	30	0	1	5	14	24
PT_SIF1156	29	0	0	5	17	23
PT_SIF1196	29	0	1	3	17	23
B3	22	0	2	0	8	17
NE17	24	0	3	3	5	18
NE19	17	0	8	0	0	9
NE12	17	0	3	0	2	13
NE13	23	0	12	0	0	11
NE14	22	0	13	0	0	9
NE15	20	0	3	0	2	16
SamoaD	25	0	1	9	7	21
PT_SIF0954	30	0	2	5	5	24
AU17	22	0	4	0	5	16
PT_SIF1127	23	0	2	3	5	18
AU15	30	0	9	3	5	18
AU16	29	0	9	3	5	17
PT_SIF0751	30	0	3	3	5	24
AU13	16	0	9	0	0	7
K3	22	0	1	2	8	17
BAL73	0	0	0	0	0	0
PT_SIF1002	29	0	1	5	8	23
PT_SIF1167	29	0	3	0	8	23
PT_SIF1200	30	0	2	3	14	24
PT_SIF1242	29	0	0	5	17	23
SW1	23	0	2	3	5	18
UW1	28	0	17	0	2	10
C3	28	0	7	2	8	17
PT_SIF1280	30	0	1	5	14	24
SW4	30	0	13	3	6	14
SW6	22	0	2	0	8	17
SW8	23	0	2	3	5	18
PT_SIF0908	29	0	7	5	8	17
Dallas	0	0	0	0	0	0
SEA86	2	0	0	0	0	2
CZ27	34	1	22	9	0	12
P3	29	0	8	2	8	17
Chicago	0	0	0	0	0	0
PT_SIF1135	29	0	2	2	8	23
MexicoA	31	0	3	3	5	25
PT_SIF1299	30	0	2	5	5	24
SHE-V	22	0	1	3	8	17
Seattle81	3	0	0	0	0	3
BosniaA	30	0	0	14	8	21
PT_SIF1252	30	0	3	3	5	24
Gauthier	22	0	0	11	5	17
NIC1	0	0	0	0	0	0
NIC2	0	0	0	0	0	0
CDC2	27	0	0	6	0	25
IND1	20	0	5	0	0	15
SAM1	25	0	1	9	7	21
BAL3	10	0	1	0	0	9
Fribourg	17	0	2	0	0	15
