#date=2022/01/30 18:19:48;source=MUSIALv2.0;reference=TP0705;samples=74
Sample	Homozygous_Calls	Heterozygous_Calls	Rejected_Calls	Deleted_Positions	Inserted_Positions	SNVs
PT_SIF0857	1	0	0	0	0	1
Q3	1	0	0	0	0	1
SHC-0	1	0	0	0	0	1
PT_SIF1348	2	0	0	0	0	2
PT_SIF0697	2	0	0	0	0	2
CZ33	2	0	2	0	0	0
PT_SIF1142	2	0	0	0	0	2
PT_SIF1020	2	0	0	0	0	2
PT_SIF1063	2	0	0	0	0	2
PT_SIF1140	2	0	1	0	0	1
PT_SIF1261	2	0	0	0	0	2
PT_SIF1183	2	0	0	0	0	2
GHA1	0	0	0	0	0	0
NE20	1	0	0	0	0	1
PT_SIF0877_3	2	0	0	0	0	2
A2_2	1	0	0	0	0	1
A2_1	1	0	1	0	0	0
GRA2	1	0	1	0	0	0
SHG-I2	1	0	0	0	0	1
AR2	2	0	0	0	0	2
SS14	0	0	0	0	0	0
SHD-R	1	0	0	0	0	1
PT_SIF1278	2	0	0	0	0	2
PT_SIF1156	2	0	0	0	0	2
PT_SIF1196	1	0	0	0	0	1
B3	1	0	0	0	0	1
NE17	2	0	0	0	0	2
NE19	3	0	1	0	0	2
NE12	2	0	2	0	0	0
NE13	2	0	2	0	0	0
NE14	1	0	0	0	0	1
NE15	2	0	0	0	0	2
SamoaD	0	0	0	0	0	0
PT_SIF0954	2	0	0	0	0	2
AU17	2	0	0	0	0	2
PT_SIF1127	3	0	1	0	0	2
AU15	2	0	0	0	0	2
AU16	2	0	0	0	0	2
PT_SIF0751	2	0	0	0	0	2
AU13	1	0	1	0	0	0
K3	1	0	0	0	0	1
BAL73	1	0	1	0	0	0
PT_SIF1002	1	0	0	0	0	1
PT_SIF1167	2	0	0	0	0	2
PT_SIF1200	3	0	1	0	0	2
PT_SIF1242	1	0	0	0	0	1
SW1	2	0	0	0	0	2
UW1	2	0	2	0	0	0
C3	1	0	0	0	0	1
PT_SIF1280	3	0	1	0	0	2
SW4	2	0	0	0	0	2
SW6	2	0	0	0	0	2
SW8	2	0	0	0	0	2
PT_SIF0908	1	0	0	0	0	1
Dallas	0	0	0	0	0	0
SEA86	1	0	1	0	0	0
CZ27	1	0	0	0	0	1
P3	1	0	0	0	0	1
Chicago	0	0	0	0	0	0
PT_SIF1135	2	0	0	0	0	2
MexicoA	0	0	0	0	0	0
PT_SIF1299	2	0	0	0	0	2
SHE-V	1	0	0	0	0	1
Seattle81	0	0	0	0	0	0
BosniaA	0	0	0	0	0	0
PT_SIF1252	2	0	0	0	0	2
Gauthier	0	0	0	0	0	0
NIC1	0	0	0	0	0	0
NIC2	0	0	0	0	0	0
CDC2	0	0	0	0	0	0
IND1	1	0	0	0	0	1
SAM1	0	0	0	0	0	0
BAL3	1	0	0	0	0	1
Fribourg	0	0	0	0	0	0
