#date=2022/01/30 18:19:36;source=MUSIALv2.0;reference=TP0856;samples=74
Sample	Homozygous_Calls	Heterozygous_Calls	Rejected_Calls	Deleted_Positions	Inserted_Positions	SNVs
PT_SIF0857	0	0	0	0	0	0
Q3	0	0	0	0	0	0
SHC-0	0	0	0	0	0	0
PT_SIF1348	0	0	0	0	0	0
PT_SIF0697	0	0	0	0	0	0
CZ33	1	0	1	0	0	0
PT_SIF1142	0	0	0	0	0	0
PT_SIF1020	0	0	0	0	0	0
PT_SIF1063	0	0	0	0	0	0
PT_SIF1140	0	0	0	0	0	0
PT_SIF1261	0	0	0	0	0	0
PT_SIF1183	0	0	0	0	0	0
GHA1	6	0	5	0	0	1
NE20	6	0	6	0	0	0
PT_SIF0877_3	0	0	0	0	0	0
A2_2	0	0	0	0	0	0
A2_1	0	0	0	0	0	0
GRA2	3	0	3	0	0	0
SHG-I2	0	0	0	0	0	0
AR2	3	0	3	0	0	0
SS14	11	0	11	0	0	0
SHD-R	0	0	0	0	0	0
PT_SIF1278	0	0	0	0	0	0
PT_SIF1156	0	0	0	0	0	0
PT_SIF1196	0	0	0	0	0	0
B3	0	0	0	0	0	0
NE17	0	0	0	0	0	0
NE19	1	0	1	0	0	0
NE12	6	0	6	0	0	0
NE13	0	0	0	0	0	0
NE14	0	0	0	0	0	0
NE15	0	0	0	0	0	0
SamoaD	10	0	7	0	0	3
PT_SIF0954	0	0	0	0	0	0
AU17	7	0	7	0	0	0
PT_SIF1127	6	0	6	0	0	0
AU15	4	0	4	0	0	0
AU16	10	0	10	0	0	0
PT_SIF0751	0	0	0	0	0	0
AU13	0	0	0	0	0	0
K3	0	0	0	0	0	0
BAL73	0	0	0	0	0	0
PT_SIF1002	0	0	0	0	0	0
PT_SIF1167	0	0	0	0	0	0
PT_SIF1200	0	0	0	0	0	0
PT_SIF1242	0	0	0	0	0	0
SW1	10	0	10	0	0	0
UW1	6	0	6	0	0	0
C3	0	0	0	0	0	0
PT_SIF1280	0	0	0	0	0	0
SW4	0	0	0	0	0	0
SW6	0	0	0	0	0	0
SW8	6	0	6	0	0	0
PT_SIF0908	0	0	0	0	0	0
Dallas	11	0	11	0	0	0
SEA86	0	0	0	0	0	0
CZ27	6	0	6	0	0	0
P3	0	0	0	0	0	0
Chicago	11	0	11	0	0	0
PT_SIF1135	0	0	0	0	0	0
MexicoA	11	0	11	0	0	0
PT_SIF1299	0	0	0	0	0	0
SHE-V	0	0	0	0	0	0
Seattle81	13	0	13	0	0	0
BosniaA	7	0	1	0	0	6
PT_SIF1252	0	0	0	0	0	0
Gauthier	10	0	7	0	0	3
NIC1	0	0	0	0	0	0
NIC2	5	0	5	0	0	0
CDC2	10	0	7	0	0	3
IND1	13	0	10	0	0	3
SAM1	8	0	5	0	0	3
BAL3	0	0	0	0	0	0
Fribourg	12	0	7	1	1	3
