#date=2022/01/30 18:19:33;source=MUSIALv2.0;reference=TP0117;samples=74
Sample	Homozygous_Calls	Heterozygous_Calls	Rejected_Calls	Deleted_Positions	Inserted_Positions	SNVs
PT_SIF0857	45	0	43	0	0	2
Q3	39	0	33	0	0	6
SHC-0	30	0	29	0	0	1
PT_SIF1348	44	0	43	0	0	1
PT_SIF0697	32	0	25	0	0	7
CZ33	31	0	31	0	0	0
PT_SIF1142	43	0	39	0	0	4
PT_SIF1020	45	0	38	0	0	7
PT_SIF1063	45	0	42	0	0	3
PT_SIF1140	34	0	32	0	0	2
PT_SIF1261	43	0	40	0	0	3
PT_SIF1183	44	0	37	0	0	7
GHA1	52	0	24	3	3	26
NE20	32	0	32	0	0	0
PT_SIF0877_3	45	0	39	0	0	6
A2_2	29	0	24	0	0	5
A2_1	30	0	30	0	0	0
GRA2	38	0	37	0	0	1
SHG-I2	32	0	31	0	0	1
AR2	37	0	37	0	0	0
SS14	33	0	33	0	0	0
SHD-R	32	0	31	0	0	1
PT_SIF1278	43	0	42	0	0	1
PT_SIF1156	30	0	23	0	0	7
PT_SIF1196	33	0	26	0	0	7
B3	43	0	39	0	0	4
NE17	37	0	36	0	0	1
NE19	31	0	30	0	0	1
NE12	22	0	21	0	0	1
NE13	27	0	26	0	0	1
NE14	33	0	33	0	0	0
NE15	32	0	31	0	0	1
SamoaD	59	0	36	3	3	21
PT_SIF0954	40	0	33	0	0	7
AU17	39	0	39	0	0	0
PT_SIF1127	36	0	36	0	0	0
AU15	34	0	34	0	0	0
AU16	37	0	37	0	0	0
PT_SIF0751	45	0	42	0	0	3
AU13	31	0	30	0	0	1
K3	34	0	27	0	0	7
BAL73	16	0	16	0	0	0
PT_SIF1002	36	0	33	0	0	3
PT_SIF1167	45	0	38	0	0	7
PT_SIF1200	45	0	42	0	0	3
PT_SIF1242	44	0	37	0	0	7
SW1	32	0	31	0	0	1
UW1	38	0	38	0	0	0
C3	43	0	40	0	0	3
PT_SIF1280	32	0	25	0	0	7
SW4	30	0	30	0	0	0
SW6	30	0	30	0	0	0
SW8	34	0	33	0	0	1
PT_SIF0908	31	0	30	0	0	1
Dallas	16	0	16	0	0	0
SEA86	31	0	31	0	0	0
CZ27	33	0	32	0	0	1
P3	31	0	30	0	0	1
Chicago	17	0	17	0	0	0
PT_SIF1135	45	0	41	0	0	4
MexicoA	31	0	31	0	0	0
PT_SIF1299	42	0	39	0	0	3
SHE-V	43	0	42	0	0	1
Seattle81	30	0	30	0	0	0
BosniaA	52	0	28	5	5	20
PT_SIF1252	33	0	30	0	0	3
Gauthier	53	0	26	3	3	25
NIC1	20	0	20	0	0	0
NIC2	15	0	15	0	0	0
CDC2	56	0	32	3	3	22
IND1	57	0	31	3	3	24
SAM1	57	0	32	3	3	23
BAL3	36	0	36	0	0	0
Fribourg	62	0	33	3	3	27
